List,Order,Item,Condition,Amb,Vis,Half,expTrials,FirstDisplay,SecondDisplay,sentence,Chinese,Italian,recordingName
3,15,x06,,,,1,N,x2101.jpg,x2102.jpg,The fire-fighter was in a hurry when he saw the  red traffic light.,消防员正在赶时间，却撞上了红灯。,Il pompiere aveva fretta quando ha visto il semaforo rosso.,N_List3_Order15_Item_x06_Cond
4,15,x06,,,,1,N,x2101.jpg,x2102.jpg,The fire-fighter was in a hurry when he saw the  red traffic light.,消防员正在赶时间，却撞上了红灯。,Il pompiere aveva fretta quando ha visto il semaforo rosso.,N_List4_Order15_Item_x06_Cond
1,16,5,1,1,1,1,Y,1051.jpg,1052.jpg,The captain was invited to the palace with  the policeman.,船长和男警察被邀请去宫殿。,Il capitano e' stato invitato a palazzo con il poliziotto.,Y_List1_Order16_Item_5_Cond1
2,16,5,2,1,2,1,Y,2051.jpg,2052.jpg,The captain was invited to the palace with  the policeman.,船长和男警察被邀请去宫殿。,Il capitano e' stato invitato a palazzo con il poliziotto.,Y_List2_Order16_Item_5_Cond2
3,16,5,3,2,1,1,Y,3051.jpg,3052.jpg,The captain was invited to the palace with  the policewoman.,船长和女警察被邀请去宫殿。,Il capitano e' stato invitato a palazzo con la poliziotta.,Y_List3_Order16_Item_5_Cond3
4,16,5,4,2,2,1,Y,4051.jpg,4052.jpg,The captain was invited to the palace with  the policewoman.,船长和女警察被邀请去宫殿。,Il capitano e' stato invitato a palazzo con la poliziotta.,Y_List4_Order16_Item_5_Cond4
1,17,x07,,,,1,N,x0601.jpg,x0602.jpg,The waitress heard someone behind her.,服务员听见背后有人。,La cameriera ha sentito che c'era qualcuno dietro di lei.,N_List1_Order17_Item_x07_Cond
2,17,x07,,,,1,N,x0601.jpg,x0602.jpg,The waitress heard someone behind her.,服务员听见背后有人。,La cameriera ha sentito che c'era qualcuno dietro di lei.,N_List2_Order17_Item_x07_Cond
3,17,x07,,,,1,N,x0601.jpg,x0602.jpg,The waitress heard someone behind her.,服务员听见背后有人。,La cameriera ha sentito che c'era qualcuno dietro di lei.,N_List3_Order17_Item_x07_Cond
4,17,x07,,,,1,N,x0601.jpg,x0602.jpg,The waitress heard someone behind her.,服务员听见背后有人。,La cameriera ha sentito che c'era qualcuno dietro di lei.,N_List4_Order17_Item_x07_Cond
1,18,6,3,2,1,1,Y,3061.jpg,3062.jpg,The gardener went to the river with the bride.,园丁和新娘去游河。,Il giardiniere e' andato al fiume con la sposa.,Y_List1_Order18_Item_6_Cond3
2,18,6,4,2,2,1,Y,4061.jpg,4062.jpg,The gardener went to the river with the bride.,园丁和新娘去游河。,Il giardiniere e' andato al fiume con la sposa.,Y_List2_Order18_Item_6_Cond4
3,18,6,1,1,1,1,Y,1061.jpg,1062.jpg,The gardener went to the river with the groom.,园丁和新郎去游河。,Il giardiniere e' andato al fiume con lo sposo.,Y_List3_Order18_Item_6_Cond1
4,18,6,2,1,2,1,Y,2061.jpg,2062.jpg,The gardener went to the river with the groom.,园丁和新郎去游河。,Il giardiniere e' andato al fiume con lo sposo.,Y_List4_Order18_Item_6_Cond2
1,19,x08,,,,1,N,x0801.jpg,x0802.jpg,The cleaner saw the carpet was relatively clean.,清洁工发现地毯还算干净。,L'addetta alle pulizie ha notato che il tappeto era relativamente pulito.,N_List1_Order19_Item_x08_Cond
2,19,x08,,,,1,N,x0801.jpg,x0802.jpg,The cleaner saw the carpet was relatively clean.,清洁工发现地毯还算干净。,L'addetta alle pulizie ha notato che il tappeto era relativamente pulito.,N_List2_Order19_Item_x08_Cond
3,19,x08,,,,1,N,x0801.jpg,x0802.jpg,The cleaner saw the carpet was relatively clean.,清洁工发现地毯还算干净。,L'addetta alle pulizie ha notato che il tappeto era relativamente pulito.,N_List3_Order19_Item_x08_Cond
4,19,x08,,,,1,N,x0801.jpg,x0802.jpg,The cleaner saw the carpet was relatively clean.,清洁工发现地毯还算干净。,L'addetta alle pulizie ha notato che il tappeto era relativamente pulito.,N_List4_Order19_Item_x08_Cond
1,20,x09,,,,1,N,x1501.jpg,x1502.jpg,The new zookeeper was introduced to the seals.,新来的动物管理员被介绍给了海豹们。,Il nuovo lavoratore dello zoo e' stato presentato alle foche.,N_List1_Order20_Item_x09_Cond
2,20,x09,,,,1,N,x1501.jpg,x1502.jpg,The new zookeeper was introduced to the seals.,新来的动物管理员被介绍给了海豹们。,Il nuovo lavoratore dello zoo e' stato presentato alle foche.,N_List2_Order20_Item_x09_Cond
3,20,x09,,,,1,N,x1501.jpg,x1502.jpg,The new zookeeper was introduced to the seals.,新来的动物管理员被介绍给了海豹们。,Il nuovo lavoratore dello zoo e' stato presentato alle foche.,N_List3_Order20_Item_x09_Cond
4,20,x09,,,,1,N,x1501.jpg,x1502.jpg,The new zookeeper was introduced to the seals.,新来的动物管理员被介绍给了海豹们。,Il nuovo lavoratore dello zoo e' stato presentato alle foche.,N_List4_Order20_Item_x09_Cond
1,21,7,2,1,2,1,Y,2071.jpg,2072.jpg,The woman explored the cave with the queen.,女人和王后去探索了洞穴。,La donna ha esplorato la caverna con la regina.,Y_List1_Order21_Item_7_Cond2
2,21,7,3,2,1,1,Y,3071.jpg,3072.jpg,The woman explored the cave with the king.,女人和国王去探索了洞穴。,La donna ha esplorato la caverna con il re.,Y_List2_Order21_Item_7_Cond3
3,21,7,4,2,2,1,Y,4071.jpg,4072.jpg,The woman explored the cave with the king.,女人和国王去探索了洞穴。,La donna ha esplorato la caverna con il re.,Y_List3_Order21_Item_7_Cond4
4,21,7,1,1,1,1,Y,1071.jpg,1072.jpg,The woman explored the cave with the queen.,女人和王后去探索了洞穴。,La donna ha esplorato la caverna con la regina.,Y_List4_Order21_Item_7_Cond1
1,22,x10,,,,1,N,x1901.jpg,x1902.jpg,The astronaut was visiting his colleague's home.,宇航员去拜访了同事家。,L'astronauta stava visitando il suo collega a casa sua.,N_List1_Order22_Item_x10_Cond
2,22,x10,,,,1,N,x1901.jpg,x1902.jpg,The astronaut was visiting his colleague's home.,宇航员去拜访了同事家。,L'astronauta stava visitando il suo collega a casa sua.,N_List2_Order22_Item_x10_Cond
3,22,x10,,,,1,N,x1901.jpg,x1902.jpg,The astronaut was visiting his colleague's home.,宇航员去拜访了同事家。,L'astronauta stava visitando il suo collega a casa sua.,N_List3_Order22_Item_x10_Cond
4,22,x10,,,,1,N,x1901.jpg,x1902.jpg,The astronaut was visiting his colleague's home.,宇航员去拜访了同事家。,L'astronauta stava visitando il suo collega a casa sua.,N_List4_Order22_Item_x10_Cond
1,23,8,4,2,2,1,Y,4081.jpg,4082.jpg,The gladiator had a chat with the lady.,角斗士和女士聊了会天。,Il gladiatore ha chiaccherato con la signora.,Y_List1_Order23_Item_8_Cond4
2,23,8,1,1,1,1,Y,1081.jpg,1082.jpg,The gladiator had a chat with the gentleman.,角斗士和绅士聊了会天。,Il gladiatore ha chiaccherato con il signore.,Y_List2_Order23_Item_8_Cond1
3,23,8,2,1,2,1,Y,2081.jpg,2082.jpg,The gladiator had a chat with the gentleman.,角斗士和绅士聊了会天。,Il gladiatore ha chiaccherato con il signore.,Y_List3_Order23_Item_8_Cond2
4,23,8,3,2,1,1,Y,3081.jpg,3082.jpg,The gladiator had a chat with the lady.,角斗士和女士聊了会天。,Il gladiatore ha chiaccherato con la signora.,Y_List4_Order23_Item_8_Cond3
1,24,x11,,,,1,N,x2601.jpg,x2602.jpg,The footballer found the ball on his way home.,足球运动员在回家的路上发现了自己的球。,Il calciatore ha trovato la palla mentre tornava a casa sua.,N_List1_Order24_Item_x11_Cond
2,24,x11,,,,1,N,x2601.jpg,x2602.jpg,The footballer found the ball on his way home.,足球运动员在回家的路上发现了自己的球。,Il calciatore ha trovato la palla mentre tornava a casa sua.,N_List2_Order24_Item_x11_Cond
3,24,x11,,,,1,N,x2601.jpg,x2602.jpg,The footballer found the ball on his way home.,足球运动员在回家的路上发现了自己的球。,Il calciatore ha trovato la palla mentre tornava a casa sua.,N_List3_Order24_Item_x11_Cond
4,24,x11,,,,1,N,x2601.jpg,x2602.jpg,The footballer found the ball on his way home.,足球运动员在回家的路上发现了自己的球。,Il calciatore ha trovato la palla mentre tornava a casa sua.,N_List4_Order24_Item_x11_Cond
1,25,9,3,2,1,1,Y,3091.jpg,3092.jpg,The queen enjoyed a discussion with the cowboy.,王后和牛仔进行了愉快的谈话。,La regina ha conversato con il cowboy.,Y_List1_Order25_Item_9_Cond3
2,25,9,4,2,2,1,Y,4091.jpg,4092.jpg,The queen enjoyed a discussion with the cowboy.,王后和牛仔进行了愉快的谈话。,La regina ha conversato con il cowboy.,Y_List2_Order25_Item_9_Cond4
3,25,9,1,1,1,1,Y,1091.jpg,1092.jpg,The queen enjoyed a discussion with the nanny.,王后和保姆进行了愉快的谈话。,La regina ha conversato con la bambinaia.,Y_List3_Order25_Item_9_Cond1
4,25,9,2,1,2,1,Y,2091.jpg,2092.jpg,The queen enjoyed a discussion with the nanny.,王后和保姆进行了愉快的谈话。,La regina ha conversato con la bambinaia.,Y_List4_Order25_Item_9_Cond2
1,26,x12,,,,1,N,x0401.jpg,x0402.jpg,The thief had been trying to open the safe for hours.,小偷这几个小时一直在尝试打开保险箱。,Il ladro aveva tentato per ore di aprire la cassaforte.,N_List1_Order26_Item_x12_Cond
2,26,x12,,,,1,N,x0401.jpg,x0402.jpg,The thief had been trying to open the safe for hours.,小偷这几个小时一直在尝试打开保险箱。,Il ladro aveva tentato per ore di aprire la cassaforte.,N_List2_Order26_Item_x12_Cond
3,26,x12,,,,1,N,x0401.jpg,x0402.jpg,The thief had been trying to open the safe for hours.,小偷这几个小时一直在尝试打开保险箱。,Il ladro aveva tentato per ore di aprire la cassaforte.,N_List3_Order26_Item_x12_Cond
4,26,x12,,,,1,N,x0401.jpg,x0402.jpg,The thief had been trying to open the safe for hours.,小偷这几个小时一直在尝试打开保险箱。,Il ladro aveva tentato per ore di aprire la cassaforte.,N_List4_Order26_Item_x12_Cond
1,27,10,4,2,2,1,Y,4101.jpg,4102.jpg,The boy went to the race track with the witch.,男孩和女巫去了赛道。,Il bambino e' andato all'autodromo con la strega.,Y_List1_Order27_Item_10_Cond4
2,27,10,1,1,1,1,Y,1101.jpg,1102.jpg,The boy went to the race track with the wizard.,男孩和巫师去了赛道。,Il bambino e' andato all'autodromo con il mago.,Y_List2_Order27_Item_10_Cond1
3,27,10,2,1,2,1,Y,2101.jpg,2102.jpg,The boy went to the race track with the wizard.,男孩和巫师去了赛道。,Il bambino e' andato all'autodromo con il mago.,Y_List3_Order27_Item_10_Cond2
4,27,10,3,2,1,1,Y,3101.jpg,3102.jpg,The boy went to the race track with the witch.,男孩和女巫去了赛道。,Il bambino e' andato all'autodromo con la strega.,Y_List4_Order27_Item_10_Cond3
1,28,x13,,,,1,N,x1201.jpg,x1202.jpg,The plumber held a hula hoop in front of his daughter.,水管工在他女儿面前放了个呼拉圈。,L'idraulico ha tenuto alzato l'hula hoop  davanti a sua figlia.,N_List1_Order28_Item_x13_Cond
2,28,x13,,,,1,N,x1201.jpg,x1202.jpg,The plumber held a hula hoop in front of his daughter.,水管工在他女儿面前放了个呼拉圈。,L'idraulico ha tenuto alzato l'hula hoop  davanti a sua figlia.,N_List2_Order28_Item_x13_Cond
3,28,x13,,,,1,N,x1201.jpg,x1202.jpg,The plumber held a hula hoop in front of his daughter.,水管工在他女儿面前放了个呼拉圈。,L'idraulico ha tenuto alzato l'hula hoop  davanti a sua figlia.,N_List3_Order28_Item_x13_Cond
4,28,x13,,,,1,N,x1201.jpg,x1202.jpg,The plumber held a hula hoop in front of his daughter.,水管工在他女儿面前放了个呼拉圈。,L'idraulico ha tenuto alzato l'hula hoop  davanti a sua figlia.,N_List4_Order28_Item_x13_Cond
1,29,x14,,,,1,N,x1301.jpg,x1302.jpg,The seals became very hungry after the new zookeeper had gone home.,新来的动物管理员回家后，海豹们变得很饿。,Alle foche e' venuta tanta fame dopo che l'addetto allo zoo e' tornato a casa.,N_List1_Order29_Item_x14_Cond
2,29,x14,,,,1,N,x1301.jpg,x1302.jpg,The seals became very hungry after the new zookeeper had gone home.,新来的动物管理员回家后，海豹们变得很饿。,Alle foche e' venuta tanta fame dopo che l'addetto allo zoo e' tornato a casa.,N_List2_Order29_Item_x14_Cond
3,29,x14,,,,1,N,x1301.jpg,x1302.jpg,The seals became very hungry after the new zookeeper had gone home.,新来的动物管理员回家后，海豹们变得很饿。,Alle foche e' venuta tanta fame dopo che l'addetto allo zoo e' tornato a casa.,N_List3_Order29_Item_x14_Cond
4,29,x14,,,,1,N,x1301.jpg,x1302.jpg,The seals became very hungry after the new zookeeper had gone home.,新来的动物管理员回家后，海豹们变得很饿。,Alle foche e' venuta tanta fame dopo che l'addetto allo zoo e' tornato a casa.,N_List4_Order29_Item_x14_Cond
1,30,11,1,1,1,1,Y,1111.jpg,1112.jpg,The mermaid left hospital with the policewoman.,美人鱼和女警察离开了医院。,La sirena e' uscita dall' ospedale con la poliziotta.,Y_List1_Order30_Item_11_Cond1
2,30,11,2,1,2,1,Y,2111.jpg,2112.jpg,The mermaid left hospital with the policewoman.,美人鱼和女警察离开了医院。,La sirena e' uscita dall' ospedale con la poliziotta.,Y_List2_Order30_Item_11_Cond2
3,30,11,3,2,1,1,Y,3111.jpg,3112.jpg,The mermaid left hospital with the policeman.,美人鱼和男警察离开了医院。,La sirena e' uscita dall' ospedale con il poliziotto.,Y_List3_Order30_Item_11_Cond3
4,30,11,4,2,2,1,Y,4111.jpg,4112.jpg,The mermaid left hospital with the policeman.,美人鱼和男警察离开了医院。,La sirena e' uscita dall' ospedale con il poliziotto.,Y_List4_Order30_Item_11_Cond4
1,31,x15,,,,1,N,x1401.jpg,x1402.jpg,A bird had been sitting on the zookeeper's cage.,一只鸟蹲在动物管理员的笼子上。,Un uccello stava seduto sulla gabbia dell'addetto allo zoo.,N_List1_Order31_Item_x15_Cond
2,31,x15,,,,1,N,x1401.jpg,x1402.jpg,A bird had been sitting on the zookeeper's cage.,一只鸟蹲在动物管理员的笼子上。,Un uccello stava seduto sulla gabbia dell'addetto allo zoo.,N_List2_Order31_Item_x15_Cond
3,31,x15,,,,1,N,x1401.jpg,x1402.jpg,A bird had been sitting on the zookeeper's cage.,一只鸟蹲在动物管理员的笼子上。,Un uccello stava seduto sulla gabbia dell'addetto allo zoo.,N_List3_Order31_Item_x15_Cond
4,31,x15,,,,1,N,x1401.jpg,x1402.jpg,A bird had been sitting on the zookeeper's cage.,一只鸟蹲在动物管理员的笼子上。,Un uccello stava seduto sulla gabbia dell'addetto allo zoo.,N_List4_Order31_Item_x15_Cond
1,32,12,2,1,2,1,Y,2121.jpg,2122.jpg,The queen went for a walk with the princess.,王后和公主去散步。,La regina ha fatto una passeggiata con la principessa.,Y_List1_Order32_Item_12_Cond2
2,32,12,3,2,1,1,Y,3121.jpg,3122.jpg,The queen went for a walk with the prince.,王后和王子去散步。,La regina ha fatto una passeggiata con il principe.,Y_List2_Order32_Item_12_Cond3
3,32,12,4,2,2,1,Y,4121.jpg,4122.jpg,The queen went for a walk with the prince.,王后和王子去散步。,La regina ha fatto una passeggiata con il principe.,Y_List3_Order32_Item_12_Cond4
4,32,12,1,1,1,1,Y,1121.jpg,1122.jpg,The queen went for a walk with the princess.,王后和公主去散步。,La regina ha fatto una passeggiata con la principessa.,Y_List4_Order32_Item_12_Cond1
1,34,x16,,,,2,N,x0101.jpg,x0102.jpg,The skater thought she was going to hit the ball.,溜冰的人本以为自己能踢中球。,La pattinatrice pensava che avrebbe colpito la palla.,N_List1_Order34_Item_x16_Cond
2,34,x16,,,,2,N,x0101.jpg,x0102.jpg,The skater thought she was going to hit the ball.,溜冰的人本以为自己能踢中球。,La pattinatrice pensava che avrebbe colpito la palla.,N_List2_Order34_Item_x16_Cond
3,34,x16,,,,2,N,x0101.jpg,x0102.jpg,The skater thought she was going to hit the ball.,溜冰的人本以为自己能踢中球。,La pattinatrice pensava che avrebbe colpito la palla.,N_List3_Order34_Item_x16_Cond
4,34,x16,,,,2,N,x0101.jpg,x0102.jpg,The skater thought she was going to hit the ball.,溜冰的人本以为自己能踢中球。,La pattinatrice pensava che avrebbe colpito la palla.,N_List4_Order34_Item_x16_Cond
1,35,x17,,,,2,N,x1601.jpg,x1602.jpg,The rescuer asked the patient to evacuate the building.,救援人员让病人撤离那栋建筑。,Il soccorritore ha chiesto al paziente di evacuare l'edificio.,N_List1_Order35_Item_x17_Cond
2,35,x17,,,,2,N,x1601.jpg,x1602.jpg,The rescuer asked the patient to evacuate the building.,救援人员让病人撤离那栋建筑。,Il soccorritore ha chiesto al paziente di evacuare l'edificio.,N_List2_Order35_Item_x17_Cond
3,35,x17,,,,2,N,x1601.jpg,x1602.jpg,The rescuer asked the patient to evacuate the building.,救援人员让病人撤离那栋建筑。,Il soccorritore ha chiesto al paziente di evacuare l'edificio.,N_List3_Order35_Item_x17_Cond
4,35,x17,,,,2,N,x1601.jpg,x1602.jpg,The rescuer asked the patient to evacuate the building.,救援人员让病人撤离那栋建筑。,Il soccorritore ha chiesto al paziente di evacuare l'edificio.,N_List4_Order35_Item_x17_Cond
1,36,13,1,1,1,2,Y,1131.jpg,1132.jpg,The sheriff talked about politics with the groom.,警长和新郎聊了政治。,Lo sceriffo ha parlato di politica con lo sposo.,Y_List1_Order36_Item_13_Cond1
